County,FIPS Code,Population 2018,Rank
"Morgan County, AL",1103,"119,089",528
"Missoula County, MT",30063,"118,791",529
"La Crosse, WI",55063,"118,230",530
"Tom Green County, TX",48451,"118,189",531
"Carroll County, GA",13045,"118,121",532
"Oswego County, NY",36075,"117,898",533
"Clark County, IN",18019,"117,360",534
"Allegan County, MI",26005,"117,327",535
"Montgomery + Radford, VA",51933,"117,324",536
"Berkeley County, WV",54003,"117,123",537
"Windham County, CT",9015,"117,027",538
"Bonneville County, ID",16019,"116,854",539
"Henderson County, NC",37089,"116,748",540
"Frederick + Winchester, VA",51921,"116,463",541
"Lowndes County, GA",13185,"116,321",542
"Wayne County, OH",39169,"115,967",543
"Sheboygan, WI",55117,"115,456",544
"Delaware County, IN",18035,"114,772",545
"Calhoun County, AL",1015,"114,277",546
"Lycoming County, PA",42081,"113,664",547
"Fayette County, GA",13113,"113,459",548
"St. Mary's County, MD",24037,"112,664",549
"Flagler County, FL",12035,"112,067",550
"Gallatin County, MT",30031,"111,876",551
"Jefferson County, NY",36045,"111,755",552
"Pennington County, SD",46103,"111,729",553
"Terrebonne Parish, LA",22109,"111,021",554
"Mercer County, PA",42085,"110,683",555
"Navajo County, AZ",4017,"110,445",556
"Hardin County, KY",21093,"110,356",557
"Douglas County, OR",41019,"110,283",558
"Kankakee County, IL",17091,"110,024",559
"LaPorte County, IN",18091,"110,007",560
"Ontario County, NY",36069,"109,864",561
"Eaton County, MI",26045,"109,826",562
"Newton County, GA",13217,"109,541",563
"La Salle County, IL",17099,"109,430",564
"Cowlitz County, WA",53015,"108,987",565
"Craighead County, AR",5031,"108,558",566
"St. Lawrence County, NY",36089,"108,047",567
"Androscoggin County, ME",23001,"107,679",568
"Matanuska-Susitna Borough, AK",2170,"107,610",569
"Vigo County, IN",18167,"107,386",570
"Hanover County, VA",51085,"107,239",571
"Yamhill County, OR",41071,"107,002",572
"Bradley County, TN",47011,"106,727",573
"Sumter County, SC",45085,"106,512",574
"Monongalia County, WV",54061,"106,420",575
"Bartow County, GA",13015,"106,408",576
"Miami County, OH",39109,"106,222",577
"Warren County, NJ",34041,"105,779",578
"Madison County, MS",28089,"105,630",579
"Highlands County, FL",12055,"105,424",580
"Cass County, MO",29037,"104,954",581
"Houston County, AL",1069,"104,722",582
"Macon County, IL",17115,"104,712",583
"Eau Claire, WI",55035,"104,534",584
"DeKalb County, IL",17037,"104,143",585
"Whitfield County, GA",13313,"104,062",586
"Bay County, MI",26017,"103,923",587
"Walworth, WI",55127,"103,718",588
"Franklin County, MO",29071,"103,670",589
"Carver County, MN",27019,"103,551",590
"Wicomico County, MD",24045,"103,195",591
"Fond du Lac, WI",55039,"103,066",592
"Platte County, MO",29165,"102,985",593
"Craven County, NC",37049,"102,912",594
"Cecil County, MD",24015,"102,826",595
"Adams County, PA",42001,"102,811",596
"Tompkins County, NY",36109,"102,793",597
"Columbiana County, OH",39029,"102,665",598
"Allen County, OH",39003,"102,663",599
"Woodbury County, IA",19193,"102,539",600
"Etowah County, AL",1055,"102,501",601
"Flathead County, MT",30029,"102,106",602
"Pittsylvania + Danville, VA",51939,"101,642",603
"Daviess County, KY",21059,"101,104",604
"Rockwall County, TX",48397,"100,657",605
"Roanoke Independent City, VA",51770,"99,920",606
"Nevada County, CA",6057,"99,696",607
"Garland County, AR",5051,"99,154",608
"Laramie County, WY",56021,"98,976",609
"Fairbanks North Star Borough, AK",2090,"98,971",610
"Putnam County, NY",36079,"98,892",611
"Moore County, NC",37125,"98,682",612
"Lenawee County, MI",26091,"98,266",613
"Lafourche Parish, LA",22057,"98,115",614
"Story County, IA",19169,"98,105",615
"Floyd County, GA",13115,"97,927",616
"Sevier County, TN",47155,"97,892",617
"Cleveland County, NC",37045,"97,645",618
"Madison County, TN",47113,"97,605",619
"Ashtabula County, OH",39007,"97,493",620
"Grant County, WA",53025,"97,331",621
"Dubuque County, IA",19061,"96,854",622
"Sutter County, CA",6101,"96,807",623
"Hunt County, TX",48231,"96,493",624
"Limestone County, AL",1083,"96,174",625
"Marshall County, AL",1095,"96,109",626
"Sherburne County, MN",27141,"96,036",627
"Steuben County, NY",36101,"95,796",628
"Lancaster County, SC",45057,"95,380",629
"Burleigh County, ND",38015,"95,273",630
"Portsmouth Independent City, VA",51740,"94,632",631
"Franklin County, WA",53021,"94,347",632
"Maury County, TN",47119,"94,340",633
"Bowie County, TX",48037,"94,324",634
"Geauga County, OH",39055,"94,031",635
"Nash County, NC",37127,"94,016",636
"Pottawattamie County, IA",19155,"93,533",637
"Walton County, GA",13297,"93,503",638
"Cabell County, WV",54011,"93,224",639
"Campbell County, KY",21037,"93,152",640
"Grand Traverse County, MI",26055,"92,573",641
"Cape May County, NJ",34009,"92,560",642
"Lauderdale County, AL",1077,"92,387",643
"Madison County, KY",21151,"92,368",644
"Tuscarawas County, OH",39157,"92,176",645
"Benton County, OR",41003,"92,101",646
"Victoria County, TX",48469,"92,035",647
"Calvert County, MD",24009,"92,003",648
"Rogers County, OK",40131,"91,984",649
"James City + Williamsburg, VA",51931,"91,293",650
"Dougherty County, GA",13095,"91,243",651
"Suffolk Independent City, VA",51800,"91,185",652
"Northumberland County, PA",42097,"91,083",653
"Rockingham County, NC",37157,"90,690",654
"Rockdale County, GA",13247,"90,594",655
"Burke County, NC",37023,"90,382",656
"Dallas County, IA",19049,"90,180",657
"Wayne County, NY",36117,"90,064",658
"Grafton, NH",33009,"89,786",659
"St. Croix, WI",55109,"89,694",660
"Ozaukee, WI",55089,"89,147",661
"St. Clair County, AL",1115,"88,690",662
"Buchanan County, MO",29021,"88,571",663
"Lapeer County, MI",26087,"88,028",664
"Dodge, WI",55027,"87,847",665
"Mendocino County, CA",6045,"87,606",666
"Josephine County, OR",41033,"87,393",667
"Bannock County, ID",16005,"87,138",668
"Angelina County, TX",48005,"87,092",669
"Christian County, MO",29043,"86,983",670
"Bastrop County, TX",48021,"86,976",671
"Orangeburg County, SC",45075,"86,934",672
"Liberty County, TX",48291,"86,323",673
"Lawrence County, PA",42073,"86,184",674
