County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Augusta County, VA",51015,86.90%,1687,,,,
"Clarke County, VA",51043,86.90%,1687,,,,
"Payette County, ID",16075,86.90%,1687,,,,
"Tucker County, WV",54093,86.90%,1687,,,,
"Allamakee County, IA",19005,86.90%,1687,,,,
"Dawson County, GA",13085,86.80%,1700,,,,
"Bingham County, ID",16011,86.80%,1700,,,,
"Clearfield County, PA",42033,86.80%,1700,,,,
"Pipestone County, MN",27117,86.80%,1700,,,,
"Okmulgee County, OK",40111,86.80%,1700,,,,
"Pender County, NC",37141,86.80%,1700,,,,
"Saline County, IL",17165,86.80%,1700,,,,
"Pottawatomie County, OK",40125,86.80%,1700,,,,
"Madison County, KY",21151,86.80%,1700,,,,
"Stone County, MO",29209,86.80%,1700,,,,
"Grundy County, MO",29079,86.80%,1700,,,,
"Oklahoma County, OK",40109,86.80%,1700,,,,
"New York County, NY",36061,86.80%,1700,,,,
"Sussex County, DE",10005,86.80%,1700,,,,
"Boyle County, KY",21021,86.80%,1700,,,,
"Lake County, CO",8065,86.80%,1700,,,,
"Kay County, OK",40071,86.80%,1700,,,,
"Clinton County, NY",36019,86.80%,1700,,,,
"Marion County, FL",12083,86.80%,1700,,,,
"Walton County, GA",13297,86.80%,1700,,,,
"Crawford County, IL",17033,86.80%,1700,,,,
"Carter County, OK",40019,86.80%,1700,,,,
"Boone County, IL",17007,86.80%,1700,,,,
"Kit Carson County, CO",8063,86.80%,1700,,,,
"Greene County, PA",42059,86.80%,1700,,,,
"Greene County, IL",17061,86.70%,1725,,,,
"Arenac County, MI",26011,86.70%,1725,,,,
"Webster County, MO",29225,86.70%,1725,,,,
"Robertson County, TN",47147,86.70%,1725,,,,
"Douglas County, SD",46043,86.70%,1725,,,,
"Ross County, OH",39141,86.70%,1725,,,,
"Bulloch County, GA",13031,86.70%,1725,,,,
"San Diego County, CA",6073,86.70%,1725,,,,
"Montgomery County, IL",17135,86.70%,1725,,,,
"Creek County, OK",40037,86.70%,1725,,,,
"Denver County, CO",8031,86.70%,1725,,,,
"Morgan County, OH",39115,86.70%,1725,,,,
"Roane County, TN",47145,86.70%,1725,,,,
"Clarke County, GA",13059,86.70%,1725,,,,
"Forrest County, MS",28035,86.70%,1725,,,,
"Catoosa County, GA",13047,86.60%,1740,,,,
"Newaygo County, MI",26123,86.60%,1740,,,,
"Lincoln County, MS",28085,86.60%,1740,,,,
"Greene County, AR",5055,86.60%,1740,,,,
"Kalkaska County, MI",26079,86.60%,1740,,,,
"Coffee County, TN",47031,86.60%,1740,,,,
"Brule County, SD",46015,86.60%,1740,,,,
"Mower County, MN",27099,86.60%,1740,,,,
"Stephens County, OK",40137,86.60%,1740,,,,
"Madison County, OH",39097,86.60%,1740,,,,
"Pope County, IL",17151,86.60%,1740,,,,
"Marshall County, KY",21157,86.60%,1740,,,,
"Morgan County, GA",13211,86.60%,1740,,,,
"Alleghany County, VA",51005,86.50%,1753,,,,
"Sullivan County, IN",18153,86.50%,1753,,,,
"Collier County, FL",12021,86.50%,1753,,,,
"Caddo Parish, LA",22017,86.50%,1753,,,,
"Pittsburg County, OK",40121,86.50%,1753,,,,
"Long County, GA",13183,86.50%,1753,,,,
"Llano County, TX",48299,86.50%,1753,,,,
"Wells County, ND",38103,86.50%,1753,,,,
"Georgetown County, SC",45043,86.50%,1753,,,,
"Thurston County, NE",31173,86.40%,1762,,,,
"Sullivan County, NY",36105,86.40%,1762,,,,
"Tipton County, TN",47167,86.40%,1762,,,,
"Mineral County, MT",30061,86.40%,1762,,,,
"Miller County, MO",29131,86.40%,1762,,,,
"Phelps County, MO",29161,86.40%,1762,,,,
"Oceana County, MI",26127,86.40%,1762,,,,
"Santa Cruz County, CA",6087,86.40%,1762,,,,
"Jessamine County, KY",21113,86.40%,1762,,,,
"Dillingham Borough, AK",2070,86.40%,1762,,,,
"Cooke County, TX",48097,86.40%,1762,,,,
"St. Joseph County, MI",26149,86.40%,1762,,,,
"Westmoreland County, VA",51193,86.40%,1762,,,,
"Elmore County, AL",1051,86.40%,1762,,,,
"Union County, KY",21225,86.40%,1762,,,,
"Harrison County, OH",39067,86.40%,1762,,,,
"Perquimans County, NC",37143,86.40%,1762,,,,
"Knox County, MO",29103,86.30%,1779,,,,
"Tuscarawas County, OH",39157,86.30%,1779,,,,
"Henderson County, KY",21101,86.30%,1779,,,,
"Atlantic County, NJ",34001,86.30%,1779,,,,
"Baraga County, MI",26013,86.30%,1779,,,,
"Mobile County, AL",1097,86.30%,1779,,,,
"Benewah County, ID",16009,86.30%,1779,,,,
"Hinds County, MS",28049,86.30%,1779,,,,
"Mineral County, NV",32021,86.30%,1779,,,,
"Waushara, WI",55137,86.20%,1788,,,,
"Wasco County, OR",41065,86.20%,1788,,,,
"Noble County, OH",39121,86.20%,1788,,,,
"Shelby County, KY",21211,86.20%,1788,,,,
"Lyon County, KY",21143,86.20%,1788,,,,
"Pasquotank County, NC",37139,86.20%,1788,,,,
"Northumberland County, PA",42097,86.20%,1788,,,,
"Clinton County, IN",18023,86.20%,1788,,,,
"Franklin County, NY",36033,86.20%,1788,,,,
"Bryan County, OK",40013,86.20%,1788,,,,
"Brown County, OH",39015,86.20%,1788,,,,
"Harnett County, NC",37085,86.20%,1788,,,,
"Cook County, IL",17031,86.20%,1788,,,,
"Franklin County, VA",51067,86.20%,1788,,,,
"Sioux County, ND",38085,86.20%,1788,,,,
"Wichita County, TX",48485,86.20%,1788,,,,
"Lauderdale County, MS",28075,86.20%,1788,,,,
"Marion County, AR",5089,86.20%,1788,,,,
"St. Lucie County, FL",12111,86.20%,1788,,,,
"Aiken County, SC",45003,86.20%,1788,,,,
"Cotton County, OK",40033,86.10%,1808,,,,
"Hancock County, KY",21091,86.10%,1808,,,,
"Prince George's County, MD",24033,86.10%,1808,,,,
"Yolo County, CA",6113,86.10%,1808,,,,
"Warren County, VA",51187,86.10%,1808,,,,
"Calcasieu Parish, LA",22019,86.10%,1808,,,,
"Mayes County, OK",40097,86.10%,1808,,,,
"Newton County, IN",18111,86.10%,1808,,,,
"Cheatham County, TN",47021,86.10%,1808,,,,
"Kershaw County, SC",45055,86.10%,1808,,,,
"Caddo County, OK",40015,86.10%,1808,,,,
"Yates County, NY",36123,86.10%,1808,,,,
"Shenandoah County, VA",51171,86.00%,1820,,,,
"Decatur County, IA",19053,86.00%,1820,,,,
"Fulton County, IN",18049,86.00%,1820,,,,
"Osceola County, FL",12097,86.00%,1820,,,,
"Pike County, IN",18125,86.00%,1820,,,,
"Callaway County, MO",29027,86.00%,1820,,,,
"Pamlico County, NC",37137,86.00%,1820,,,,
"LaMoure County, ND",38045,86.00%,1820,,,,
"Gates County, NC",37073,86.00%,1820,,,,
"Portsmouth Independent City, VA",51740,86.00%,1820,,,,
"Craig County, OK",40035,86.00%,1820,,,,
"Cass County, TX",48067,86.00%,1820,,,,
"Berks County, PA",42011,86.00%,1820,,,,
"Mahnomen County, MN",27087,86.00%,1820,,,,
"Sabine County, TX",48403,86.00%,1820,,,,
"Kaufman County, TX",48257,86.00%,1820,,,,
"Dale County, AL",1045,86.00%,1820,,,,
"Union County, NJ",34039,86.00%,1820,,,,
"Seneca County, NY",36099,85.90%,1838,,,,
"Mason County, KY",21161,85.90%,1838,,,,
"Beaufort County, NC",37013,85.90%,1838,,,,
"Anderson County, TN",47001,85.90%,1838,,,,
"Randolph County, MO",29175,85.90%,1838,,,,
"Walton County, FL",12131,85.90%,1838,,,,
"Putnam County, GA",13237,85.90%,1838,,,,
"Jasper County, TX",48241,85.90%,1838,,,,
"Union County, PA",42119,85.90%,1838,,,,
"Greene County, NY",36039,85.90%,1838,,,,
"Uintah County, UT",49047,85.90%,1838,,,,
"Latimer County, OK",40077,85.90%,1838,,,,
"Lawrence County, OH",39087,85.90%,1838,,,,
"Clark County, KY",21049,85.90%,1838,,,,
"Sterling County, TX",48431,85.90%,1838,,,,
"Jackson County, WV",54035,85.90%,1838,,,,
"Brazos County, TX",48041,85.90%,1838,,,,
"Orleans Parish, LA",22071,85.90%,1838,,,,
"Crawford County, AR",5033,85.90%,1838,,,,
"Lauderdale County, AL",1077,85.90%,1838,,,,
"Pulaski County, IL",17153,85.80%,1858,,,,
"Graham County, AZ",4009,85.80%,1858,,,,
"Fannin County, GA",13111,85.80%,1858,,,,
"Colleton County, SC",45029,85.80%,1858,,,,
"Carroll County, MO",29033,85.80%,1858,,,,
"Chambers County, TX",48071,85.80%,1858,,,,
"Woodbury County, IA",19193,85.80%,1858,,,,
"Gladwin County, MI",26051,85.80%,1858,,,,
"Waynesboro Independent City, VA",51820,85.80%,1858,,,,
"Peach County, GA",13225,85.80%,1858,,,,
"Wayne County, OH",39169,85.80%,1858,,,,
"Union Parish, LA",22111,85.80%,1858,,,,
"Bates County, MO",29013,85.80%,1858,,,,
"Clearwater County, MN",27029,85.80%,1858,,,,
"Emmons County, ND",38029,85.80%,1858,,,,
"Randolph County, IN",18135,85.80%,1858,,,,
"Nevada County, AR",5099,85.80%,1858,,,,
"Aleutians East Borough, AK",2013,85.80%,1858,,,,
"Ashtabula County, OH",39007,85.70%,1876,,,,
"Rolette County, ND",38079,85.70%,1876,,,,
"Howell County, MO",29091,85.70%,1876,,,,
"Sullivan County, TN",47163,85.70%,1876,,,,
"Carroll County, AR",5015,85.70%,1876,,,,
"Rockbridge County, VA",51163,85.70%,1876,,,,
"Jefferson County, OR",41031,85.70%,1876,,,,
"Calhoun County, SC",45017,85.70%,1876,,,,
"Dundy County, NE",31057,85.70%,1876,,,,
"St. Louis City County, MO",29510,85.70%,1876,,,,
"Raleigh County, WV",54081,85.70%,1876,,,,
"Montgomery County, AL",1101,85.70%,1876,,,,
"Nelson County, VA",51125,85.70%,1876,,,,
"Marion County, IN",18097,85.60%,1889,,,,
"Morton County, KS",20129,85.60%,1889,,,,
"Franklin County, TN",47051,85.60%,1889,,,,
"Lancaster County, SC",45057,85.60%,1889,,,,
"Johnston County, NC",37101,85.60%,1889,,,,
"Brown County, TX",48049,85.60%,1889,,,,
"Cimarron County, OK",40025,85.60%,1889,,,,
"Wayne County, MI",26163,85.60%,1889,,,,
"Hopkins County, KY",21107,85.60%,1889,,,,
"Christian County, KY",21047,85.60%,1889,,,,
"Hot Spring County, AR",5059,85.60%,1889,,,,
"Ouachita Parish, LA",22073,85.60%,1889,,,,
"Lamar County, GA",13171,85.50%,1901,,,,
"Lincoln County, OK",40081,85.50%,1901,,,,
"Coshocton County, OH",39031,85.50%,1901,,,,
"Modoc County, CA",6049,85.50%,1901,,,,
"Lyon County, NV",32019,85.50%,1901,,,,
"Lubbock County, TX",48303,85.50%,1901,,,,
"Campbell County, VA",51031,85.50%,1901,,,,
"Hutchinson County, TX",48233,85.50%,1901,,,,
"Wayne County, IN",18177,85.50%,1901,,,,
"Baca County, CO",8009,85.50%,1901,,,,
"Wood County, TX",48499,85.50%,1901,,,,
"Parke County, IN",18121,85.50%,1901,,,,
"King and Queen County, VA",51097,85.50%,1901,,,,
"Hoke County, NC",37093,85.40%,1914,,,,
"Tarrant County, TX",48439,85.40%,1914,,,,
"Jennings County, IN",18079,85.40%,1914,,,,
"Sheridan County, ND",38083,85.40%,1914,,,,
"Clark County, MO",29045,85.40%,1914,,,,
"Pulaski County, VA",51155,85.40%,1914,,,,
"McIntosh County, OK",40091,85.40%,1914,,,,
"Massac County, IL",17127,85.40%,1914,,,,
"Coffee County, AL",1031,85.40%,1914,,,,
"Hampden County, MA",25013,85.40%,1914,,,,
"Loudon County, TN",47105,85.40%,1914,,,,
"Yuma County, CO",8125,85.40%,1914,,,,
"Cherokee County, OK",40021,85.40%,1914,,,,
"Owen County, IN",18119,85.30%,1927,,,,
"Putnam County, TN",47141,85.30%,1927,,,,
"Scott County, KS",20171,85.30%,1927,,,,
"Otero County, CO",8089,85.30%,1927,,,,
"Dorchester County, MD",24019,85.30%,1927,,,,
"Miami County, IN",18103,85.30%,1927,,,,
"Garvin County, OK",40049,85.30%,1927,,,,
"Houston County, AL",1069,85.30%,1927,,,,
"Moultrie County, IL",17139,85.30%,1927,,,,
"Camden County, NC",37029,85.30%,1927,,,,
"Jefferson County, AR",5069,85.30%,1927,,,,
"Jefferson County, IL",17081,85.30%,1927,,,,
"Ballard County, KY",21007,85.30%,1927,,,,
"Davis County, IA",19051,85.30%,1927,,,,
"Rio Arriba County, NM",35039,85.30%,1927,,,,
"Person County, NC",37145,85.30%,1927,,,,
"Marshall County, TN",47117,85.30%,1927,,,,
"Livingston Parish, LA",22063,85.30%,1927,,,,
"Mason County, WV",54053,85.30%,1927,,,,
"Clark County, NV",32003,85.30%,1927,,,,
"Essex County, NJ",34013,85.30%,1927,,,,
"White County, GA",13311,85.20%,1948,,,,
"Polk County, AR",5113,85.20%,1948,,,,
"Nye County, NV",32023,85.20%,1948,,,,
"Boone County, AR",5009,85.20%,1948,,,,
"Conway County, AR",5029,85.20%,1948,,,,
"Shoshone County, ID",16079,85.20%,1948,,,,
"Newton County, GA",13217,85.20%,1948,,,,
"Ouachita County, AR",5103,85.20%,1948,,,,
"Pinal County, AZ",4021,85.20%,1948,,,,
"Suffolk County, MA",25025,85.20%,1948,,,,
"Stanly County, NC",37167,85.20%,1948,,,,
"Montgomery County, NY",36057,85.20%,1948,,,,
"Fannin County, TX",48147,85.20%,1948,,,,
"Muskogee County, OK",40101,85.20%,1948,,,,
"Webster County, MS",28155,85.20%,1948,,,,
"Delta County, TX",48119,85.10%,1963,,,,
"Shackelford County, TX",48417,85.10%,1963,,,,
"Washington County, IN",18175,85.10%,1963,,,,
"Little River County, AR",5081,85.10%,1963,,,,
"Independence County, AR",5063,85.10%,1963,,,,
"Brewster County, TX",48043,85.10%,1963,,,,
"Greer County, OK",40055,85.10%,1963,,,,
"Jackson County, CO",8057,85.10%,1963,,,,
"Nash County, NC",37127,85.10%,1963,,,,
"Miller County, AR",5091,85.10%,1963,,,,
"Bibb County, GA",13021,85.10%,1963,,,,
"Marshall County, IN",18099,85.10%,1963,,,,
"Somervell County, TX",48425,85.10%,1963,,,,
"Marshall County, IA",19127,85.10%,1963,,,,
"Erath County, TX",48143,85.10%,1963,,,,
"Natchitoches Parish, LA",22069,85.00%,1978,,,,
"Perry County, IL",17145,85.00%,1978,,,,
"Noble County, IN",18113,85.00%,1978,,,,
"Beckham County, OK",40009,85.00%,1978,,,,
"Ogemaw County, MI",26129,85.00%,1978,,,,
"Roanoke Independent City, VA",51770,85.00%,1978,,,,
"Henry County, TN",47079,85.00%,1978,,,,
"Conejos County, CO",8021,85.00%,1978,,,,
"Gila County, AZ",4007,85.00%,1978,,,,
"Wise County, TX",48497,85.00%,1978,,,,
"Morgan County, WV",54065,85.00%,1978,,,,
"Cherokee County, NC",37039,84.90%,1989,,,,
"Ashe County, NC",37009,84.90%,1989,,,,
"Bent County, CO",8011,84.90%,1989,,,,
"Nome Borough, AK",2180,84.90%,1989,,,,
"Alamance County, NC",37001,84.90%,1989,,,,
"Coke County, TX",48081,84.90%,1989,,,,
"Pocahontas County, WV",54075,84.90%,1989,,,,
"Scott County, IN",18143,84.90%,1989,,,,
"Bleckley County, GA",13023,84.90%,1989,,,,
"White Pine County, NV",32033,84.90%,1989,,,,
"Spartanburg County, SC",45083,84.90%,1989,,,,
"Blaine County, OK",40011,84.90%,1989,,,,
"Crowley County, CO",8025,84.90%,1989,,,,
"Panola County, TX",48365,84.90%,1989,,,,
"Marion County, OR",41047,84.90%,1989,,,,
"Appomattox County, VA",51011,84.90%,1989,,,,
"Jefferson Parish, LA",22051,84.90%,1989,,,,
"Smith County, TX",48423,84.90%,1989,,,,
"Culpeper County, VA",51047,84.90%,1989,,,,
"Nicholas County, WV",54067,84.90%,1989,,,,
"Wilson County, TX",48493,84.80%,2009,,,,
"Columbia County, AR",5027,84.80%,2009,,,,
"Eddy County, NM",35015,84.80%,2009,,,,
"Ellis County, TX",48139,84.80%,2009,,,,
"Van Buren County, AR",5141,84.80%,2009,,,,
"Simpson County, KY",21213,84.80%,2009,,,,
"Lancaster County, PA",42071,84.80%,2009,,,,
"Wirt County, WV",54105,84.80%,2009,,,,
"Essex County, VT",50009,84.80%,2009,,,,
"Kosciusko County, IN",18085,84.80%,2009,,,,
"Chester County, TN",47023,84.80%,2009,,,,
"Rush County, IN",18139,84.80%,2009,,,,
"Audrain County, MO",29007,84.70%,2021,,,,
"Napa County, CA",6055,84.70%,2021,,,,
"Mono County, CA",6051,84.70%,2021,,,,
"Hancock County, MS",28045,84.70%,2021,,,,
"Beauregard Parish, LA",22011,84.70%,2021,,,,
"Lake County, CA",6033,84.70%,2021,,,,
"Orange County, CA",6059,84.70%,2021,,,,
"Jackson County, SD",46071,84.70%,2021,,,,
"Clare County, MI",26035,84.70%,2021,,,,
"Yukon-Koyukuk Borough, AK",2290,84.70%,2021,,,,
"Jackson County, TX",48239,84.70%,2021,,,,
"Kiowa County, OK",40075,84.70%,2021,,,,
"Mohave County, AZ",4015,84.70%,2021,,,,
"Benson County, ND",38005,84.70%,2021,,,,
"Lowndes County, MS",28087,84.70%,2021,,,,
"Pickens County, SC",45077,84.70%,2021,,,,
"Lake County, OR",41037,84.70%,2021,,,,
"Rapides Parish, LA",22079,84.70%,2021,,,,
"Ozark County, MO",29153,84.60%,2039,,,,
"Preston County, WV",54077,84.60%,2039,,,,
"Lamar County, TX",48277,84.60%,2039,,,,
"Madison County, NC",37115,84.60%,2039,,,,
"Greene County, VA",51079,84.60%,2039,,,,
"Delaware County, OK",40041,84.60%,2039,,,,
"Perry County, OH",39127,84.60%,2039,,,,
"Dewey County, SD",46041,84.60%,2039,,,,
"Giles County, TN",47055,84.60%,2039,,,,
"Lavaca County, TX",48285,84.60%,2039,,,,
"Louisa County, VA",51109,84.60%,2039,,,,
"Tyler County, TX",48457,84.60%,2039,,,,
"Canyon County, ID",16027,84.60%,2039,,,,
"Cumberland County, TN",47035,84.60%,2039,,,,
"Washington County, VA",51191,84.60%,2039,,,,
"White County, AR",5145,84.60%,2039,,,,
"Gibson County, TN",47053,84.60%,2039,,,,
"Washington County, TX",48477,84.60%,2039,,,,
"Mercer County, KY",21167,84.60%,2039,,,,
"Franklin County, MS",28037,84.50%,2058,,,,
"Harrison County, MO",29081,84.50%,2058,,,,
"Highland County, VA",51091,84.50%,2058,,,,
"McMullen County, TX",48311,84.50%,2058,,,,
"Richmond Independent City, VA",51760,84.50%,2058,,,,
"Logan County, ND",38047,84.50%,2058,,,,
"Bienville Parish, LA",22013,84.50%,2058,,,,
"Rowan County, NC",37159,84.50%,2058,,,,
"Bourbon County, KY",21017,84.50%,2058,,,,
"Cass County, IL",17017,84.50%,2058,,,,
"Trigg County, KY",21221,84.50%,2058,,,,
"Hunt County, TX",48231,84.50%,2058,,,,
"Otero County, NM",35035,84.50%,2058,,,,
"Gregg County, TX",48183,84.50%,2058,,,,
"Cannon County, TN",47015,84.50%,2058,,,,
"Fulton County, AR",5049,84.50%,2058,,,,
"Gilchrist County, FL",12041,84.50%,2058,,,,
"McLean County, KY",21149,84.50%,2058,,,,
"Benton County, MO",29015,84.50%,2058,,,,
"Toole County, MT",30101,84.40%,2077,,,,
"Meigs County, OH",39105,84.40%,2077,,,,
"Crawford County, GA",13079,84.40%,2077,,,,
"Bracken County, KY",21023,84.40%,2077,,,,
"Lincoln County, NC",37109,84.40%,2077,,,,
"Greenbrier County, WV",54025,84.40%,2077,,,,
"Bristol Independent City, VA",51520,84.40%,2077,,,,
"Anderson County, SC",45007,84.40%,2077,,,,
"Wichita County, KS",20203,84.40%,2077,,,,
"Cleburne County, AR",5023,84.40%,2077,,,,
"Saline County, NE",31151,84.40%,2077,,,,
"Quay County, NM",35037,84.40%,2077,,,,
"Lowndes County, GA",13185,84.40%,2077,,,,
"Gulf County, FL",12045,84.30%,2090,,,,
"Mifflin County, PA",42087,84.30%,2090,,,,
"Bristol County, MA",25005,84.30%,2090,,,,
"Floyd County, VA",51063,84.30%,2090,,,,
"Guernsey County, OH",39059,84.30%,2090,,,,
"Ottawa County, OK",40115,84.30%,2090,,,,
"Beaver County, OK",40007,84.30%,2090,,,,
"Tom Green County, TX",48451,84.30%,2090,,,,
"Barbour County, WV",54001,84.30%,2090,,,,
"Polk County, FL",12105,84.30%,2090,,,,
"Daviess County, MO",29061,84.30%,2090,,,,
"Washington County, AR",5143,84.20%,2101,,,,
"Wibaux County, MT",30109,84.20%,2101,,,,
"Montgomery County, MO",29139,84.20%,2101,,,,
"Taylor County, KY",21217,84.20%,2101,,,,
"Franklin County, NC",37069,84.20%,2101,,,,
"Pearl River County, MS",28109,84.20%,2101,,,,
"Baker County, FL",12003,84.20%,2101,,,,
"St. Clair County, AL",1115,84.20%,2101,,,,
"Baltimore City County, MD",24510,84.20%,2101,,,,
"Bradley County, TN",47011,84.20%,2101,,,,
"Bosque County, TX",48035,84.20%,2101,,,,
"Calhoun County, AR",5013,84.20%,2101,,,,
"St. John the Baptist Parish, LA",22095,84.20%,2101,,,,
"Monroe County, GA",13207,84.20%,2101,,,,
"St. James Parish, LA",22093,84.20%,2101,,,,
"Seminole County, OK",40133,84.10%,2116,,,,
"Johnson County, TX",48251,84.10%,2116,,,,
"Amherst County, VA",51009,84.10%,2116,,,,
"Piute County, UT",49031,84.10%,2116,,,,
"Jasper County, MS",28061,84.10%,2116,,,,
"Orangeburg County, SC",45075,84.10%,2116,,,,
"Clayton County, GA",13063,84.10%,2116,,,,
"Florence County, SC",45041,84.10%,2116,,,,
"Oconee County, SC",45073,84.10%,2116,,,,
"Sierra County, NM",35051,84.10%,2116,,,,
"Saline County, MO",29195,84.10%,2116,,,,
"Gaston County, NC",37071,84.10%,2116,,,,
"Seminole County, GA",13253,84.00%,2128,,,,
"Tehama County, CA",6103,84.00%,2128,,,,
"Harrison County, TX",48203,84.00%,2128,,,,
"Catawba County, NC",37035,84.00%,2128,,,,
"Weakley County, TN",47183,84.00%,2128,,,,
"Pope County, AR",5115,84.00%,2128,,,,
"McLennan County, TX",48309,84.00%,2128,,,,
"Scioto County, OH",39145,84.00%,2128,,,,
"Highlands County, FL",12055,84.00%,2128,,,,
"Lawrence County, AR",5075,84.00%,2128,,,,
"Ventura County, CA",6111,84.00%,2128,,,,
"Randolph County, IL",17157,84.00%,2128,,,,
"Cleveland County, NC",37045,84.00%,2128,,,,
"McMinn County, TN",47107,84.00%,2128,,,,
"Harrisonburg Independent City, VA",51660,83.90%,2142,,,,
"Chowan County, NC",37041,83.90%,2142,,,,
"Laurens County, GA",13175,83.90%,2142,,,,
"Surry County, VA",51181,83.90%,2142,,,,
"Colbert County, AL",1033,83.90%,2142,,,,
"Washington County, ID",16087,83.90%,2142,,,,
"Hall County, NE",31079,83.90%,2142,,,,
"Highland County, OH",39071,83.90%,2142,,,,
"Torrance County, NM",35057,83.90%,2142,,,,
"Stonewall County, TX",48433,83.90%,2142,,,,
"Union County, AR",5139,83.90%,2142,,,,
"Maries County, MO",29125,83.90%,2142,,,,
"Oregon County, MO",29149,83.90%,2142,,,,
"Van Zandt County, TX",48467,83.80%,2155,,,,
"Smith County, TN",47159,83.80%,2155,,,,
"Jackson County, OH",39079,83.80%,2155,,,,
"Moniteau County, MO",29135,83.80%,2155,,,,
"Cedar County, MO",29039,83.80%,2155,,,,
"Rabun County, GA",13241,83.80%,2155,,,,
"Pettis County, MO",29159,83.80%,2155,,,,
"Brown County, IL",17009,83.80%,2155,,,,
"Jefferson County, TX",48245,83.80%,2155,,,,
"Elko County, NV",32007,83.80%,2155,,,,
"Logan County, AR",5083,83.80%,2155,,,,
"Providence County, RI",44007,83.80%,2155,,,,
"Upshur County, WV",54097,83.80%,2155,,,,
"Limestone County, AL",1083,83.70%,2168,,,,
"Hudson County, NJ",34017,83.70%,2168,,,,
"Bexar County, TX",48029,83.70%,2168,,,,
"Midland County, TX",48329,83.70%,2168,,,,
"Pickens County, GA",13227,83.70%,2168,,,,
"Snyder County, PA",42109,83.70%,2168,,,,
"Randolph County, WV",54083,83.70%,2168,,,,
"San Juan County, UT",49037,83.70%,2168,,,,
"San Juan County, NM",35045,83.70%,2168,,,,
"Johnston County, OK",40069,83.70%,2168,,,,
"Montgomery County, KY",21173,83.60%,2178,,,,
"Coal County, OK",40029,83.60%,2178,,,,
"Adams County, IN",18001,83.60%,2178,,,,
"Granville County, NC",37077,83.60%,2178,,,,
"Aransas County, TX",48007,83.60%,2178,,,,
"Hickory County, MO",29085,83.60%,2178,,,,
"Winchester Independent City, VA",51840,83.60%,2178,,,,
"Pike County, MO",29163,83.60%,2178,,,,
"Henry County, KY",21103,83.60%,2178,,,,
"Walker County, TX",48471,83.60%,2178,,,,
"Troup County, GA",13285,83.60%,2178,,,,
"Searcy County, AR",5129,83.50%,2189,,,,
"Martin County, IN",18101,83.50%,2189,,,,
"Lexington Independent City, VA",51678,83.50%,2189,,,,
"Trinity County, TX",48455,83.50%,2189,,,,
"Levy County, FL",12075,83.50%,2189,,,,
"Dyer County, TN",47045,83.50%,2189,,,,
"Laclede County, MO",29105,83.50%,2189,,,,
"Carlisle County, KY",21039,83.50%,2189,,,,
"Graves County, KY",21083,83.50%,2189,,,,
"Upshur County, TX",48459,83.50%,2189,,,,
"Scott County, MO",29201,83.50%,2189,,,,
"Caroline County, VA",51033,83.50%,2189,,,,
"Watonwan County, MN",27165,83.50%,2189,,,,
"Wayne County, NC",37191,83.50%,2189,,,,
"Sabine Parish, LA",22085,83.50%,2189,,,,
"Sevier County, TN",47155,83.50%,2189,,,,
"Butler County, MO",29023,83.50%,2189,,,,
"Mercer County, WV",54055,83.50%,2189,,,,
"Kane County, IL",17089,83.40%,2207,,,,
"Jefferson County, TN",47089,83.40%,2207,,,,
"Wetzel County, WV",54103,83.40%,2207,,,,
"Martin County, NC",37117,83.40%,2207,,,,
"Covington Independent City, VA",51580,83.40%,2207,,,,
"Wythe County, VA",51197,83.40%,2207,,,,
"Palo Pinto County, TX",48363,83.40%,2207,,,,
"Greenwood County, SC",45047,83.40%,2207,,,,
"Davidson County, NC",37057,83.40%,2207,,,,
"Perry County, AR",5105,83.40%,2207,,,,
"Ziebach County, SD",46137,83.40%,2207,,,,
"Caroline County, MD",24011,83.30%,2218,,,,
"Larue County, KY",21123,83.30%,2218,,,,
"Red River County, TX",48387,83.30%,2218,,,,
"Decatur County, TN",47039,83.30%,2218,,,,
"Lander County, NV",32015,83.30%,2218,,,,
"Camp County, TX",48063,83.30%,2218,,,,
"Orange County, IN",18117,83.30%,2218,,,,
"Henderson County, TX",48213,83.30%,2218,,,,
"Humboldt County, NV",32013,83.30%,2218,,,,
"Newton County, MS",28101,83.30%,2218,,,,
"Lumpkin County, GA",13187,83.30%,2218,,,,
"Norton Independent City, VA",51720,83.30%,2218,,,,
"Sullivan County, MO",29211,83.30%,2218,,,,
"Roosevelt County, MT",30085,83.30%,2218,,,,
"Rio Grande County, CO",8105,83.30%,2218,,,,
"Pike County, AR",5109,83.30%,2218,,,,
"Philadelphia County, PA",42101,83.30%,2218,,,,
"Sumter County, SC",45085,83.20%,2235,,,,
"Fisher County, TX",48151,83.20%,2235,,,,
"Calhoun County, AL",1015,83.20%,2235,,,,
"Yancey County, NC",37199,83.20%,2235,,,,
"Beadle County, SD",46005,83.20%,2235,,,,
"Drew County, AR",5043,83.20%,2235,,,,
"Lee County, MS",28081,83.20%,2235,,,,
"Barrow County, GA",13013,83.20%,2235,,,,
"Marengo County, AL",1091,83.20%,2235,,,,
"Kimble County, TX",48267,83.20%,2235,,,,
"Lewis County, TN",47101,83.20%,2235,,,,
"Summers County, WV",54089,83.20%,2235,,,,
"Hamilton County, TX",48193,83.20%,2235,,,,
"St. Francois County, MO",29187,83.20%,2235,,,,
