County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Cerro Gordo County, IA",19033,93.50%,264,,,,
"Box Elder County, UT",49003,93.50%,264,,,,
"Lane County, KS",20101,93.50%,264,,,,
"Deschutes County, OR",41017,93.50%,264,,,,
"Loudoun County, VA",51107,93.50%,264,,,,
"Chouteau County, MT",30015,93.50%,264,,,,
"Polk County, NE",31143,93.40%,284,,,,
"Clay County, IA",19041,93.40%,284,,,,
"Clark County, KS",20025,93.40%,284,,,,
"Towner County, ND",38095,93.40%,284,,,,
"Itasca County, MN",27061,93.40%,284,,,,
"Sheridan County, KS",20179,93.40%,284,,,,
"Phelps County, NE",31137,93.40%,284,,,,
"Cedar County, NE",31027,93.40%,284,,,,
"Carroll, NH",33003,93.40%,284,,,,
"Burlington County, NJ",34005,93.40%,284,,,,
"Crow Wing County, MN",27035,93.40%,284,,,,
"Virginia Beach Independent City, VA",51810,93.40%,284,,,,
"Summit County, CO",8117,93.40%,284,,,,
"Spokane County, WA",53063,93.40%,284,,,,
"Anchorage Borough, AK",2020,93.40%,284,,,,
"Hancock County, IA",19081,93.40%,284,,,,
"Newport County, RI",44005,93.30%,300,,,,
"Lancaster County, NE",31109,93.30%,300,,,,
"Emery County, UT",49015,93.30%,300,,,,
"Brown County, KS",20013,93.30%,300,,,,
"Red Lake County, MN",27125,93.30%,300,,,,
"Grundy County, IL",17063,93.30%,300,,,,
"Lac qui Parle County, MN",27073,93.30%,300,,,,
"Merrimack, NH",33013,93.30%,300,,,,
"Graham County, KS",20065,93.30%,300,,,,
"Wabaunsee County, KS",20197,93.30%,300,,,,
"Dunn, WI",55033,93.30%,300,,,,
"Cache County, UT",49005,93.30%,300,,,,
"Marin County, CA",6041,93.20%,312,,,,
"Ontario County, NY",36069,93.20%,312,,,,
"Laramie County, WY",56021,93.20%,312,,,,
"Ellis County, KS",20051,93.20%,312,,,,
"Lake County, SD",46079,93.20%,312,,,,
"Warren County, OH",39165,93.20%,312,,,,
"Golden Valley County, MT",30037,93.20%,312,,,,
"St. Louis County, MO",29189,93.20%,312,,,,
"Marion County, IA",19125,93.20%,312,,,,
"Leon County, FL",12073,93.20%,312,,,,
"Eau Claire, WI",55035,93.20%,312,,,,
"Phillips County, KS",20147,93.20%,312,,,,
"Clackamas County, OR",41005,93.20%,312,,,,
"Smith County, KS",20183,93.20%,312,,,,
"Trego County, KS",20195,93.20%,312,,,,
"Dare County, NC",37055,93.20%,312,,,,
"Polk, WI",55095,93.10%,328,,,,
"Kingman County, KS",20095,93.10%,328,,,,
"Stanley County, SD",46117,93.10%,328,,,,
"Nuckolls County, NE",31129,93.10%,328,,,,
"Kendall County, TX",48259,93.10%,328,,,,
"Greeley County, NE",31077,93.10%,328,,,,
"Lincoln County, NE",31111,93.10%,328,,,,
"Carson County, TX",48065,93.10%,328,,,,
"Saunders County, NE",31155,93.10%,328,,,,
"Jasper County, IA",19099,93.10%,328,,,,
"Merrick County, NE",31121,93.00%,338,,,,
"Washington County, CO",8121,93.00%,338,,,,
"Lincoln County, ME",23015,93.00%,338,,,,
"Teton County, MT",30099,93.00%,338,,,,
"Seward County, NE",31159,93.00%,338,,,,
"Hennepin County, MN",27053,93.00%,338,,,,
"Wasatch County, UT",49051,93.00%,338,,,,
"Warrick County, IN",18173,93.00%,338,,,,
"Buchanan County, IA",19019,93.00%,338,,,,
"Williamson County, TX",48491,93.00%,338,,,,
"Calhoun County, IA",19025,93.00%,338,,,,
"Lincoln County, WY",56023,92.90%,349,,,,
"Yellowstone County, MT",30111,92.90%,349,,,,
"Chester County, PA",42029,92.90%,349,,,,
"Clay County, MO",29047,92.90%,349,,,,
"Cheshire, NH",33005,92.90%,349,,,,
"McDonough County, IL",17109,92.90%,349,,,,
"Sierra County, CA",6091,92.90%,349,,,,
"Richland County, MT",30083,92.90%,349,,,,
"El Dorado County, CA",6017,92.90%,349,,,,
"Wheeler County, OR",41069,92.90%,349,,,,
"Turner County, SD",46125,92.90%,349,,,,
"Sherman County, OR",41055,92.90%,349,,,,
"Keya Paha County, NE",31103,92.90%,349,,,,
"Waldo County, ME",23027,92.90%,349,,,,
"Marshall County, IL",17123,92.90%,349,,,,
"Wallowa County, OR",41063,92.90%,349,,,,
"Harford County, MD",24025,92.90%,349,,,,
"Kootenai County, ID",16055,92.90%,349,,,,
"Hanover County, VA",51085,92.90%,349,,,,
"Benton County, IA",19011,92.80%,368,,,,
"Tazewell County, IL",17179,92.80%,368,,,,
"Middlesex County, MA",25017,92.80%,368,,,,
"Monmouth County, NJ",34025,92.80%,368,,,,
"Grant County, MN",27051,92.80%,368,,,,
"Hitchcock County, NE",31087,92.80%,368,,,,
"Waseca County, MN",27161,92.80%,368,,,,
"Wilkin County, MN",27167,92.80%,368,,,,
"Columbia, WI",55021,92.80%,368,,,,
"Franklin County, MA",25011,92.80%,368,,,,
"Fremont County, IA",19071,92.80%,368,,,,
"Roberts County, TX",48393,92.80%,368,,,,
"Greene County, OH",39057,92.80%,368,,,,
"Putnam County, NY",36079,92.80%,368,,,,
"Geary County, KS",20061,92.80%,368,,,,
"Winona County, MN",27169,92.80%,368,,,,
"Kittson County, MN",27069,92.80%,368,,,,
"Hinsdale County, CO",8053,92.80%,368,,,,
"Addison County, VT",50001,92.80%,368,,,,
"McHenry County, IL",17111,92.80%,368,,,,
"Marshall County, KS",20117,92.70%,388,,,,
"York County, ME",23031,92.70%,388,,,,
"Union County, OR",41061,92.70%,388,,,,
"Clinton County, MO",29049,92.70%,388,,,,
"Chattahoochee County, GA",13053,92.70%,388,,,,
"Valley County, NE",31175,92.70%,388,,,,
"Delaware County, PA",42045,92.70%,388,,,,
"Ontonagon County, MI",26131,92.70%,388,,,,
"Hubbard County, MN",27057,92.70%,388,,,,
"Boone County, KY",21015,92.70%,388,,,,
"Charles County, MD",24017,92.70%,388,,,,
"Mercer County, OH",39107,92.70%,388,,,,
"Scott County, IL",17171,92.70%,388,,,,
"Beaufort County, SC",45013,92.70%,388,,,,
"Plymouth County, MA",25023,92.70%,388,,,,
"Lucas County, IA",19117,92.70%,388,,,,
"Hyde County, SD",46069,92.70%,388,,,,
"Beaver County, PA",42007,92.70%,388,,,,
"Poweshiek County, IA",19157,92.70%,388,,,,
"Teton County, ID",16081,92.70%,388,,,,
"DeKalb County, IL",17037,92.70%,388,,,,
"Putnam County, OH",39137,92.70%,388,,,,
"King County, WA",53033,92.70%,388,,,,
"Koochiching County, MN",27071,92.60%,411,,,,
"Florence, WI",55037,92.60%,411,,,,
"Carroll County, IA",19027,92.60%,411,,,,
"Menard County, IL",17129,92.60%,411,,,,
"Sioux County, NE",31165,92.60%,411,,,,
"Vilas, WI",55125,92.60%,411,,,,
"Bristol Bay Borough, AK",2060,92.60%,411,,,,
"New Kent County, VA",51127,92.60%,411,,,,
"Barber County, KS",20007,92.60%,411,,,,
"Mills County, IA",19129,92.60%,411,,,,
"Hodgeman County, KS",20083,92.60%,411,,,,
"Hamlin County, SD",46057,92.60%,411,,,,
"Becker County, MN",27005,92.60%,411,,,,
"Wood, WI",55141,92.60%,411,,,,
"Dawson County, MT",30021,92.60%,411,,,,
"Orange County, NC",37135,92.60%,411,,,,
"Williams County, ND",38105,92.60%,411,,,,
"Sherman County, NE",31163,92.60%,411,,,,
"Coffey County, KS",20031,92.60%,411,,,,
"Burnett, WI",55013,92.60%,411,,,,
"Plymouth County, IA",19149,92.60%,411,,,,
"Frederick County, MD",24021,92.60%,411,,,,
"Hancock County, IL",17067,92.60%,411,,,,
"Nodaway County, MO",29147,92.60%,411,,,,
"Jefferson County, KS",20087,92.60%,411,,,,
"Crook County, WY",56011,92.60%,411,,,,
"Hamilton County, IA",19079,92.60%,411,,,,
"Albany County, NY",36001,92.60%,411,,,,
"Cheyenne County, KS",20023,92.60%,411,,,,
"Kenai Peninsula Borough, AK",2122,92.60%,411,,,,
"Forsyth County, GA",13117,92.50%,441,,,,
"Grafton, NH",33009,92.50%,441,,,,
"Martin County, MN",27091,92.50%,441,,,,
"Gloucester County, NJ",34015,92.50%,441,,,,
"Franklin County, ME",23007,92.50%,441,,,,
"Sarasota County, FL",12115,92.50%,441,,,,
"Hancock County, OH",39063,92.50%,441,,,,
"Benzie County, MI",26019,92.50%,441,,,,
"Hot Springs County, WY",56017,92.50%,441,,,,
"Comanche County, KS",20033,92.50%,441,,,,
"Custer County, NE",31041,92.50%,441,,,,
"Logan County, NE",31113,92.50%,441,,,,
"Chippewa, WI",55017,92.50%,441,,,,
"Iowa County, IA",19095,92.50%,441,,,,
"Windsor County, VT",50027,92.50%,441,,,,
"Green, WI",55045,92.50%,441,,,,
"Botetourt County, VA",51023,92.50%,441,,,,
"Putnam County, IL",17155,92.50%,441,,,,
"Iron County, UT",49021,92.50%,441,,,,
"Nemaha County, KS",20131,92.50%,441,,,,
"Traill County, ND",38097,92.50%,441,,,,
"Wake County, NC",37183,92.50%,441,,,,
"Pennington County, MN",27113,92.50%,441,,,,
"Steele County, MN",27147,92.50%,441,,,,
"O'Brien County, IA",19141,92.40%,465,,,,
"McKenzie County, ND",38053,92.40%,465,,,,
"Strafford, NH",33017,92.40%,465,,,,
"Juab County, UT",49023,92.40%,465,,,,
"Ingham County, MI",26065,92.40%,465,,,,
"Butler County, IA",19023,92.40%,465,,,,
"Allen County, KS",20001,92.40%,465,,,,
"Stevens County, MN",27149,92.40%,465,,,,
"Hand County, SD",46059,92.40%,465,,,,
"Sangamon County, IL",17167,92.40%,465,,,,
"Lyon County, MN",27083,92.40%,465,,,,
"Hanson County, SD",46061,92.40%,465,,,,
"Washington County, UT",49053,92.40%,465,,,,
"Lamoille County, VT",50015,92.40%,465,,,,
"Guthrie County, IA",19077,92.40%,465,,,,
"Kewaunee, WI",55061,92.40%,465,,,,
"Scott County, IA",19163,92.40%,465,,,,
"Skagway Borough, AK",2230,92.40%,465,,,,
"Potter County, SD",46107,92.40%,465,,,,
"DuPage County, IL",17043,92.40%,465,,,,
"Jackson County, MN",27063,92.40%,465,,,,
"Sheboygan, WI",55117,92.40%,465,,,,
"Platte County, WY",56031,92.40%,465,,,,
"Belknap, NH",33001,92.40%,465,,,,
"Windham County, VT",50025,92.40%,465,,,,
"Cass County, MO",29037,92.40%,465,,,,
"Henry County, OH",39069,92.40%,465,,,,
"Winnebago, WI",55139,92.40%,465,,,,
"Atchison County, KS",20005,92.40%,465,,,,
"Wabasha County, MN",27157,92.40%,465,,,,
"Lee County, IA",19111,92.30%,495,,,,
"Oneida, WI",55085,92.30%,495,,,,
"New Hanover County, NC",37129,92.30%,495,,,,
"Butler County, KS",20015,92.30%,495,,,,
"Madison County, IL",17119,92.30%,495,,,,
"Sargent County, ND",38081,92.30%,495,,,,
"Jones County, SD",46075,92.30%,495,,,,
"Gogebic County, MI",26053,92.30%,495,,,,
"Worth County, IA",19195,92.30%,495,,,,
"Brown County, NE",31017,92.30%,495,,,,
"Columbia County, GA",13073,92.30%,495,,,,
"Greene County, IA",19073,92.30%,495,,,,
"Porter County, IN",18127,92.30%,495,,,,
"Hawaii County, HI",15001,92.30%,495,,,,
"Keokuk County, IA",19107,92.30%,495,,,,
"Arapahoe County, CO",8005,92.30%,495,,,,
"Meeker County, MN",27093,92.30%,495,,,,
"Dubuque County, IA",19061,92.30%,495,,,,
"Washington County, PA",42125,92.30%,495,,,,
"Jones County, IA",19105,92.30%,495,,,,
"Whatcom County, WA",53073,92.30%,495,,,,
"Howard County, NE",31093,92.20%,516,,,,
"Clay County, KS",20027,92.20%,516,,,,
"Meagher County, MT",30059,92.20%,516,,,,
"Menominee County, MI",26109,92.20%,516,,,,
"Benton County, MN",27009,92.20%,516,,,,
"Fairfax Independent City, VA",51600,92.20%,516,,,,
"Comal County, TX",48091,92.20%,516,,,,
"Ottawa County, OH",39123,92.20%,516,,,,
"Rio Blanco County, CO",8103,92.20%,516,,,,
"Cherry County, NE",31031,92.20%,516,,,,
"Ottawa County, MI",26139,92.20%,516,,,,
"Natrona County, WY",56025,92.20%,516,,,,
"Mercer County, IL",17131,92.20%,516,,,,
"Carroll County, MD",24013,92.20%,516,,,,
"Roseau County, MN",27135,92.20%,516,,,,
"Shiawassee County, MI",26155,92.20%,516,,,,
"Union County, OH",39159,92.10%,532,,,,
"Alachua County, FL",12001,92.10%,532,,,,
"Jackson County, IL",17077,92.10%,532,,,,
"Shelby County, IL",17173,92.10%,532,,,,
"McLeod County, MN",27085,92.10%,532,,,,
"Warren County, PA",42123,92.10%,532,,,,
"Maui County, HI",15009,92.10%,532,,,,
"Washburn, WI",55129,92.10%,532,,,,
"Sac County, IA",19161,92.10%,532,,,,
"Roanoke County, VA",51161,92.10%,532,,,,
"Wyoming County, PA",42131,92.10%,532,,,,
"Brown County, SD",46013,92.10%,532,,,,
"Holt County, NE",31089,92.10%,532,,,,
"Butte County, ID",16023,92.10%,532,,,,
"Washington County, IL",17189,92.10%,532,,,,
"Pocahontas County, IA",19151,92.10%,532,,,,
"Matanuska-Susitna Borough, AK",2170,92.10%,532,,,,
"Ohio County, WV",54069,92.10%,532,,,,
"Faulk County, SD",46049,92.10%,532,,,,
"Franklin County, NE",31061,92.10%,532,,,,
"Custer County, MT",30017,92.10%,532,,,,
"Sumner County, KS",20191,92.10%,532,,,,
"Henry County, IA",19087,92.10%,532,,,,
"Fillmore County, NE",31059,92.10%,532,,,,
"Lake County, OH",39085,92.10%,532,,,,
"Effingham County, IL",17049,92.10%,532,,,,
"Orange County, VT",50017,92.10%,532,,,,
"Shelby County, AL",1117,92.10%,532,,,,
"Van Wert County, OH",39161,92.10%,532,,,,
"Butler County, NE",31023,92.00%,561,,,,
"Spink County, SD",46115,92.00%,561,,,,
"Des Moines County, IA",19057,92.00%,561,,,,
"Caribou County, ID",16029,92.00%,561,,,,
"Kendall County, IL",17093,92.00%,561,,,,
"Fairfax County, VA",51059,92.00%,561,,,,
"Chesapeake Independent City, VA",51550,92.00%,561,,,,
"Denton County, TX",48121,92.00%,561,,,,
"Montgomery County, VA",51121,92.00%,561,,,,
"Chase County, KS",20017,92.00%,561,,,,
"Harrison County, IA",19085,92.00%,561,,,,
